まなびのライブ「DX推進担当が集まる社内勉強会」第2回
テーマ: SQLで集計を速くする
参加者: 4cb42a58-168e-425d-a365-d88b46980b85, 16be614b-ca9f-4477-a093-ac40962ff47e, df7f9bc2-562b-4934-89f1-ec97e0ed7913, 88feab1d-0154-468b-827e-e737cc0f8680

4cb42a58-168e-425d-a365-d88b46980b85: 今日はSQLの集計クエリが遅かったのを直した話をします。
16be614b-ca9f-4477-a093-ac40962ff47e: 楽しみです。どれくらい遅かったんですか。
4cb42a58-168e-425d-a365-d88b46980b85: 月次の売上集計が10分近くかかっていました。原因を見ていくと、サブクエリの中で毎回同じ集計を繰り返し計算していたのが一番大きくて、共通の部分をCTE（WITH句）に切り出したら3分くらいまで縮みました。
88feab1d-0154-468b-827e-e737cc0f8680: CTE、便利ですよね。インデックスの見直しはされたんですか。
4cb42a58-168e-425d-a365-d88b46980b85: しました。日付の範囲で絞り込む列にインデックスが無かったので、そこを足しただけでも体感できるくらい速くなりました。ただインデックスを増やしすぎると更新が遅くなるので、よく使う絞り込み条件だけに絞るようにしています。
df7f9bc2-562b-4934-89f1-ec97e0ed7913: 私はSQLをまだあまり触ったことが無くて、正直今日の話も半分くらいしか分かりませんでした。基本的なところからもう少し教えてほしいです。
4cb42a58-168e-425d-a365-d88b46980b85: 全然大丈夫ですよ、基礎編もそのうちやりましょうか。
16be614b-ca9f-4477-a093-ac40962ff47e: 実行計画の読み方も気になります。今度そのテーマでもぜひ聞きたいです。
88feab1d-0154-468b-827e-e737cc0f8680: 前回も似たような回があって、また聞きたいなと思って参加しました。実務にすぐ使えるので助かります。
4cb42a58-168e-425d-a365-d88b46980b85: ありがとうございます、そう言ってもらえると嬉しいです。
df7f9bc2-562b-4934-89f1-ec97e0ed7913: 今日出てきたCTEという言葉、あとで自分でも調べてみます。
4cb42a58-168e-425d-a365-d88b46980b85: もし分からないところがあれば、いつでも聞いてください。
